城市,最高价(单位),面积(最高),最低价(单位),面积(最低)
重庆,42000(元/㎡),91-340㎡,75(万元/套起),64-158㎡
上海,145534(元/m²),76-99㎡,142(万元/套起),75-138㎡
北京,168000(元/㎡),245-443.76㎡,350(万元/套起),81.05-131㎡
成都,50000(元/㎡起),61-192㎡,52(万元/套起),35-48㎡
天津,85000(元/㎡起),149.78-277.65㎡,155(万元/套起),79-165㎡
广州,107000(元/㎡),70-125㎡,560(万元/套起),88-131㎡
深圳,180000(元/㎡),79-152㎡,1000(万元/套起),120-250㎡
武汉,55000(元/㎡),207-300㎡,60(万元/套起),33-57㎡
南阳,15000(元/㎡),90-140㎡,3300(元/㎡),90-152㎡
临沂,27000(元/㎡起),95-194㎡,5600(元/㎡),66.11-113.27㎡
石家庄,35000(元/㎡),99.53-330㎡,13090(元/m²),114.84-145.9㎡
哈尔滨,370(万元/套起),88-251.39㎡,45(万元/套起),42.47-73.39㎡
苏州,55000(元/㎡),113-380㎡,44(万元/套起),36-69㎡
保定,24000(元/㎡),49.38-327.2㎡,80(万元/套起),80-116㎡
郑州,30000(元/㎡),67.83-136.96㎡,350(万元/套起),134㎡
西安,37000(元/㎡),39.13-132.17㎡,5200(元/㎡),90-150㎡
赣州,13513(元/m²),95-160㎡,4900(元/㎡),93-142㎡
邯郸,16800(元/㎡),176-288㎡,1500(万元/套),66.8-381㎡
温州,44000(元/㎡),45-260㎡,60(万元/套起),57-128㎡
潍坊,16000(元/㎡),101-213㎡,350(万元/套起),103-498.85㎡
排名,书名,作者,评论数,出版日期,出版社,售价
1,人间至美：朱光潜经典散文集,朱光潜,106253,2020-05-01,花山文艺出版社,34.50
2,订书匠,布里奇特·柯林斯,29168,2020-07-01,四川文艺出版社,41.80
3,从 0 到 1 打造个人品牌,王一九,15178,2020-06-01,电子工业出版社,59.40
4,汪曾祺的写作课,汪曾祺,47544,2020-09-01,江苏凤凰文艺出版社,34.70
5,那些听过却从未搞明白的问题,大卫·加耶,23700,2020-03-01,四川文艺出版社,43.80
6,男孩的学习力,富永雄辅,85353,2020-06-01,四川文艺出版社,34.70
7,高尔基成长三部曲（童年、在人间、我的大学）,高尔基,101280,2019-08-01,四川文艺出版社,78.20
8,空间简史(与《时间简史》《人类简史》《未来简史》并称“四大简史...,托马斯·马卡卡罗,127822,2019-01-01,四川文艺出版社,34.70
9,傅雷家书,傅雷,15433,2021-01-01,万卷出版公司,19.80
10,养成良好习惯，高效管理时间,杰米·希尔,73105,2019-04-30,天津人民出版社,26.70
11,直播带货 让你的流量持续低成本变现,梁宸瑜,10556,2020-08-01,人民邮电出版社,58.40
12,“生活+职场”说话之道——套装书（魔力四射：如何打动、亲近和影...,帕特里克·金,5878,2016-08-15,天津人民出版社,48.70
13,记忆编码,亚瑟·杜姆切夫,12004,2020-05-01,四川文艺出版社,34.70
14,做个侃爷：精于闲聊 施展魅力（与任何人滔滔不绝的技巧）,帕特里克·金,91750,2016-08-01,天津人民出版社,24.40
15,品牌营销 : 新流量时代品牌打造与运营方法论,薛斌鹏,5420,2020-11-01,电子工业出版社,69.30
16,给孩子的财商启蒙书,齐艺萌,50409,2020-01-01,四川文艺出版社,41.80
17,朝与同歌暮与酒,关东野客,34637,2019-09-01,江苏凤凰文艺出版社,41.80
18,天真易得,莉比·菲舍尔·赫尔曼,17135,2018-08-01,天津人民出版社,41.90
19,黑白 新版（朝小诚代表作，全新逐字修订版）,朝小诚,13301,2021-03-01,江苏凤凰文艺出版社,25.80
20,答案之书（精装）(我的人生解答书),保罗,117065,2016-06-01,百花洲文艺出版社,33.10
1,人间至美：朱光潜经典散文集,朱光潜,106253,2020-05-01,花山文艺出版社,34.50
2,订书匠,布里奇特·柯林斯,29168,2020-07-01,四川文艺出版社,41.80
3,从 0 到 1 打造个人品牌,王一九,15178,2020-06-01,电子工业出版社,59.40
4,汪曾祺的写作课,汪曾祺,47544,2020-09-01,江苏凤凰文艺出版社,34.70
5,那些听过却从未搞明白的问题,大卫·加耶,23700,2020-03-01,四川文艺出版社,43.80
6,男孩的学习力,富永雄辅,85353,2020-06-01,四川文艺出版社,34.70
7,高尔基成长三部曲（童年、在人间、我的大学）,高尔基,101280,2019-08-01,四川文艺出版社,78.20
8,空间简史(与《时间简史》《人类简史》《未来简史》并称“四大简史...,托马斯·马卡卡罗,127822,2019-01-01,四川文艺出版社,34.70
9,傅雷家书,傅雷,15433,2021-01-01,万卷出版公司,19.80
10,养成良好习惯，高效管理时间,杰米·希尔,73105,2019-04-30,天津人民出版社,26.70
11,直播带货 让你的流量持续低成本变现,梁宸瑜,10556,2020-08-01,人民邮电出版社,58.40
12,“生活+职场”说话之道——套装书（魔力四射：如何打动、亲近和影...,帕特里克·金,5878,2016-08-15,天津人民出版社,48.70
13,记忆编码,亚瑟·杜姆切夫,12004,2020-05-01,四川文艺出版社,34.70
14,做个侃爷：精于闲聊 施展魅力（与任何人滔滔不绝的技巧）,帕特里克·金,91750,2016-08-01,天津人民出版社,24.40
15,品牌营销 : 新流量时代品牌打造与运营方法论,薛斌鹏,5420,2020-11-01,电子工业出版社,69.30
16,给孩子的财商启蒙书,齐艺萌,50409,2020-01-01,四川文艺出版社,41.80
17,朝与同歌暮与酒,关东野客,34637,2019-09-01,江苏凤凰文艺出版社,41.80
18,天真易得,莉比·菲舍尔·赫尔曼,17135,2018-08-01,天津人民出版社,41.90
19,黑白 新版（朝小诚代表作，全新逐字修订版）,朝小诚,13301,2021-03-01,江苏凤凰文艺出版社,25.80
20,答案之书（精装）(我的人生解答书),保罗,117065,2016-06-01,百花洲文艺出版社,33.10
